Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,12.10910833,186.2555948,186.2555948
2,0.000325278,12.11886667,181.6511981,181.6511981
3,0.000575,12.12635833,182.7450752,182.7450752
4,0.0008275,12.13393333,181.6206599,181.62066
5,0.001079167,12.14148333,197.994789,197.9947891
6,0.001329445,12.14899167,197.4267552,197.4267553
7,0.001661112,12.15894167,199.0012846,199.0012847
8,0.001989167,12.16878333,217.8205168,217.820517
9,0.002239445,12.17629167,225.9478017,225.9478019
10,0.002486945,12.18371667,231.1820714,231.1820716
11,0.002739167,12.19128333,229.7289946,229.7289948
12,0.002988056,12.19875,221.978991,221.9789912
13,0.003315834,12.20858333,215.6139563,215.6139566
14,0.003640278,12.21831667,211.754792,211.7547923
15,0.003890556,12.225825,208.8667545,208.8667548
16,0.004138056,12.23325,215.5461013,215.5461016
17,0.004384723,12.24065,212.9813127,212.981313
18,0.0046325,12.24808333,206.648884,206.6488843
19,0.0049625,12.25798333,200.2713091,200.2713095
20,0.005285,12.26765833,211.4747045,211.4747049
21,0.005528889,12.274975,218.9422136,218.942214
22,0.005775834,12.28238333,230.0174955,230.017496
23,0.006026945,12.28991667,231.7983151,231.7983156
24,0.00628,12.29750833,224.0750715,224.075072
25,0.006612778,12.30749167,217.2588959,217.2588964
26,0.006935278,12.31716667,226.7987848,226.7987854
27,0.007180278,12.32451667,235.6079331,235.6079337
28,0.007427778,12.33194167,232.9975235,232.9975241
29,0.007681667,12.33955833,221.5188935,221.5188941
30,0.007929445,12.34699167,225.6049924,225.6049931
31,0.008254445,12.35674167,232.5946129,232.5946136
32,0.008575278,12.36636667,219.1552285,219.1552292
33,0.008822223,12.373775,221.3583295,221.3583302
34,0.009071389,12.38125,217.2068307,217.2068314
35,0.009320834,12.38873333,219.8765984,219.8765992
36,0.009570556,12.396225,212.57205,212.5720508
37,0.009903889,12.406225,205.6166068,205.6166076
38,0.010229445,12.41599167,202.8613523,202.8613531
39,0.010476945,12.42341667,190.8498281,190.8498288
40,0.010724723,12.43085,196.8705998,196.8706006
41,0.010972223,12.438275,195.4256301,195.4256309
42,0.011223612,12.44581667,194.571322,194.5713228
43,0.011560834,12.45593333,194.3535083,194.3535092
44,0.011888612,12.46576667,200.7636101,200.763611
45,0.012136945,12.47321667,194.1112605,194.1112614
46,0.012385,12.48065833,197.9496472,197.9496481
47,0.012636112,12.48819167,192.7864105,192.7864114
48,0.012884723,12.49565,186.7680742,186.7680751
49,0.013213334,12.5,183.6379591,183.63796
50,0.013536945,12.5,192.0229196,192.0229206
51,0.013784723,12.5,177.4865558,177.4865567
52,0.014031667,12.5,171.6431801,171.643181
53,0.014281667,12.5,171.831561,171.831562
54,0.014530278,12.5,184.8406282,184.8406293
55,0.014859445,12.5,200.2444329,200.2444341
56,0.015184445,12.5,195.5245193,195.5245205
57,0.015433889,12.5,190.7364864,190.7364876
58,0.015683334,12.5,192.447368,192.4473692
59,0.015931112,12.5,206.0654764,206.0654777
60,0.016178889,12.5,200.7357829,200.7357842
61,0.016514723,12.5,198.0425752,198.0425765
62,0.016839167,12.5,195.9234683,195.9234696
63,0.017085,12.5,195.7962539,195.7962552
64,0.017334723,12.5,199.9358338,199.9358352
65,0.017586112,12.5,197.2344404,197.2344418
66,0.017835556,12.5,191.4469285,191.4469299
67,0.018166945,12.5,184.431131,184.4311323
68,0.018494167,12.5,186.5185331,186.5185345
69,0.018743334,12.5,201.2173191,201.2173206
70,0.018993056,12.5,212.8868442,212.8868458
71,0.019241667,12.5,221.4679654,221.4679671
72,0.019488334,12.5,217.7481612,217.7481629
73,0.019813612,12.5,219.4756425,219.4756443
74,0.020134167,12.5,229.3983668,229.3983687
75,0.020383889,12.5,238.9782288,238.9782308
76,0.020632223,12.5,234.2165075,234.2165094
77,0.020878334,12.5,240.3433371,240.3433391
78,0.021126667,12.5,248.6966115,248.6966136
79,0.021455834,12.5,254.6061484,254.6061506
80,0.021780556,12.5,266.0620288,266.0620311
81,0.02203,12.5,263.6082725,263.6082748
82,0.022276389,12.5,255.2791338,255.2791361
83,0.022525556,12.5,253.8679991,253.8680014
84,0.022772223,12.5,237.7002978,237.7003
85,0.023102778,12.5,227.547158,227.5471601
86,0.023425556,12.5,226.3727718,226.372774
87,0.023676112,12.5,248.4854747,248.4854771
88,0.02393,12.5,247.8344047,247.8344071
89,0.024175834,12.5,253.4096422,253.4096447
90,0.024423612,12.5,261.3261013,261.3261039
91,0.0247525,12.5,268.7981032,268.7981059
92,0.025079167,12.5,275.388966,275.3889688
93,0.025326112,12.5,262.555194,262.5551967
94,0.025573056,12.5,267.3426965,267.3426993
95,0.025823334,12.5,274.2958901,274.295893
96,0.026073612,12.5,266.1826619,266.1826648
97,0.026406112,12.5,258.7716995,258.7717023
98,0.0267325,12.5,250.9796462,250.979649
99,0.026983612,12.5,257.0293458,257.0293486
100,0.027236667,12.5,254.7270519,254.7270547
101,0.027484167,12.5,260.9872281,260.987231
102,0.027731389,12.5,272.3085302,272.3085333
103,0.028061667,12.5,283.042269,283.0422723
104,0.028387223,12.5,276.2653077,276.2653109
105,0.028642223,12.5,283.4361978,283.4362011
106,0.028890834,12.5,293.5305816,293.5305851
107,0.029139167,12.5,289.5793996,289.5794031
108,0.029389445,12.5,278.1744078,278.1744112
109,0.029723056,12.5,269.7333641,269.7333674
110,0.030045556,12.5,273.4784754,273.4784788
111,0.030295278,12.5,269.6909391,269.6909425
112,0.030546112,12.5,269.3659161,269.3659195
113,0.030790278,12.5,263.3761461,263.3761495
114,0.031038889,12.5,260.8369749,260.8369783
115,0.031366112,12.5,258.1330564,258.1330598
116,0.031686945,12.5,270.3184625,270.3184661
117,0.031934445,12.5,275.627303,275.6273067
118,0.032183889,12.5,261.4382542,261.4382577
119,0.032433334,12.5,268.2683033,268.2683069
120,0.032681667,12.5,260.2639213,260.2639248
121,0.033015278,12.5,253.6385807,253.6385842
122,0.033343612,12.5,256.8320972,256.8321008
123,0.03359,12.5,256.0717702,256.0717738
124,0.0338375,12.5,249.8374042,249.8374077
125,0.034084167,12.5,252.8240821,252.8240857
126,0.034332778,12.5,255.9797883,255.979792
127,0.034663056,12.5,261.9939146,261.9939184
128,0.034988334,12.5,282.7064777,282.7064818
129,0.035236389,12.5,279.2374291,279.2374332
130,0.035486945,12.5,278.2803114,278.2803155
131,0.035737223,12.5,268.2448163,268.2448203
132,0.035985834,12.5,255.9257828,255.9257867
133,0.036311389,12.5,244.6052375,244.6052412
134,0.036635834,12.5,244.7939429,244.7939466
135,0.036885,12.5,241.2433778,241.2433815
136,0.037133612,12.5,249.427769,249.4277729
137,0.037385556,12.5,239.1083712,239.1083749
138,0.037636112,12.5,239.9355401,239.9355439
139,0.037966667,12.5,241.0932072,241.093211
140,0.038293334,12.5,237.7311728,237.7311766
141,0.038544167,12.5,239.445236,239.4452399
142,0.038792778,12.5,253.0280346,253.0280387
143,0.039041667,12.5,247.1162505,247.1162545
144,0.039289167,12.5,230.6129152,230.612919
145,0.039618056,12.5,216.4957508,216.4957544
146,0.0399425,12.5,230.6907422,230.6907461
147,0.040196112,12.5,244.3863128,244.3863169
148,0.040448889,12.5,247.9109659,247.9109701
149,0.040703612,12.5,247.404935,247.4049392
150,0.0409575,12.5,245.4937717,245.4937759
151,0.041288612,12.5,244.0700507,244.0700549
152,0.041617223,12.5,237.6313588,237.631363
153,0.041866667,12.5,228.8316859,228.8316899
154,0.042115,12.5,217.0474386,217.0474424
155,0.042365,12.5,211.3121772,211.312181
156,0.042616667,12.5,208.504177,208.5041807
157,0.042946667,12.5,207.5368737,207.5368775
158,0.043271945,12.5,203.9039942,203.9039979
159,0.043521389,12.5,187.7425331,187.7425365
160,0.043766389,12.5,181.8733153,181.8733187
161,0.044015556,12.5,163.973869,163.973872
162,0.044265556,12.5,153.3692205,153.3692234
163,0.0445925,12.5,144.1868168,144.1868195
164,0.044915834,12.5,155.5200141,155.5200171
165,0.045166112,12.5,152.9418546,152.9418575
166,0.045414723,12.5,143.4205168,143.4205196
167,0.045664445,12.5,141.7686828,141.7686855
168,0.045915278,12.5,141.6439502,141.643953
169,0.046244445,12.5,143.5470261,143.5470289
170,0.046568056,12.50615,160.2420967,160.2420999
171,0.046816667,12.51360833,150.3215828,150.3215858
172,0.047064167,12.52103333,147.4641962,147.4641991
173,0.047313334,12.52850833,138.8401515,138.8401543
174,0.047561945,12.53596667,137.89146,137.8914628
175,0.047894723,12.54595,138.2503897,138.2503925
176,0.048218334,12.55565833,136.3903082,136.390311
177,0.048466667,12.56310833,133.1084211,133.1084238
178,0.048716112,12.57059167,137.1851707,137.1851735
179,0.048965556,12.578075,146.139767,146.13977
180,0.049216112,12.58559167,143.1293753,143.1293783
181,0.0495475,12.59553333,143.9360285,143.9360315
182,0.049872223,12.605275,139.2498264,139.2498293
183,0.050116945,12.61261667,142.1259836,142.1259866
184,0.050366389,12.6201,140.9269651,140.9269681
185,0.050616945,12.62761667,150.3197597,150.3197629
186,0.050863334,12.63500833,139.4710761,139.4710791
187,0.0511875,12.64473333,127.5315844,127.5315872
188,0.051511389,12.65445,129.1545704,129.1545732
189,0.051761389,12.66195,120.5393295,120.5393322
190,0.052010278,12.66941667,126.333248,126.3332508
191,0.052256945,12.67681667,126.2625931,126.2625959
192,0.052504445,12.68424167,125.3897768,125.3897796
193,0.052834445,12.69414167,128.621308,128.6213109
194,0.053157778,12.70384167,136.4058563,136.4058594
195,0.053405278,12.71126667,149.563497,149.5635004
196,0.053650278,12.71861667,144.588728,144.5887313
197,0.053896945,12.72601667,144.537624,144.5376273
198,0.0541475,12.73353333,153.8184404,153.818444
199,0.054475278,12.74336667,162.371113,162.3711168
200,0.054794445,12.75294167,171.3781002,171.3781042
201,0.055040834,12.76033333,172.7359754,172.7359795
202,0.055285834,12.76768333,167.1666052,167.1666092
203,0.055532778,12.77509167,163.2814093,163.2814132
204,0.055780278,12.78251667,147.5761051,147.5761086
205,0.056111667,12.79245833,135.7126627,135.712666
206,0.056436389,12.8022,134.1097404,134.1097437
207,0.056683889,12.809625,149.8062274,149.8062311
208,0.0569325,12.81708333,153.8752056,153.8752094
209,0.057179167,12.82448333,158.2275905,158.2275944
210,0.057426112,12.83189167,151.1692707,151.1692744
211,0.05775,12.84160833,144.1190849,144.1190885
212,0.058074723,12.85135,137.3998804,137.3998838
213,0.058325,12.85885833,127.8053587,127.8053619
214,0.058573334,12.86630833,133.2356859,133.2356893
215,0.058822223,12.873775,147.6753879,147.6753917
216,0.059074167,12.88133333,143.5814032,143.5814069
217,0.059406945,12.89131667,142.5297786,142.5297823
218,0.059734167,12.90113333,156.1919018,156.1919059
219,0.059984167,12.90863333,169.4839239,169.4839284
220,0.060232778,12.91609167,163.5105258,163.5105301
221,0.060485,12.92365833,167.8204188,167.8204233
222,0.060735556,12.931175,173.927204,173.9272086
223,0.061061667,12.94095833,178.6139777,178.6139825
224,0.061386389,12.9507,172.1197225,172.1197271
225,0.061636389,12.9582,180.2338844,180.2338893
226,0.061883889,12.965625,178.7564759,178.7564808
227,0.062133612,12.97311667,182.430643,182.430648
228,0.062385834,12.98068333,185.3250932,185.3250983
229,0.062713889,12.990525,189.3773182,189.3773234
230,0.063037223,13,179.7538536,179.7538586
231,0.063284723,13,183.7441849,183.74419
232,0.063532778,13,178.5057185,178.5057235
233,0.063779167,13,169.8978807,169.8978855
234,0.064028334,13,167.1443704,167.1443752
235,0.064360556,13,165.1113622,165.1113669
236,0.06469,13,180.31117,180.3111752
237,0.064944167,13,174.2636225,174.2636275
238,0.065194445,13,161.1024535,161.1024582
239,0.065441389,13,147.6766794,147.6766837
240,0.065690556,13,138.7296919,138.729696
241,0.066019723,13,132.3144376,132.3144415
242,0.066344167,13,142.8782056,142.8782099
243,0.0665925,13,139.7762272,139.7762314
244,0.066839445,13,129.0380679,129.0380718
245,0.067084167,13,131.2345833,131.2345873
246,0.067330834,13,128.3921151,128.392119
247,0.067659167,13,126.0821096,126.0821135
248,0.0679825,13,138.7977598,138.7977641
249,0.068227223,13,140.1589596,140.1589639
250,0.068475834,13,134.3035361,134.3035403
251,0.068726112,13,124.1295767,124.1295806
252,0.068971945,13,121.7867432,121.786747
253,0.069303612,13,121.4643248,121.4643286
254,0.069628056,13,122.9958951,122.995899
255,0.069874445,13,123.9139847,123.9139886
256,0.070123056,13,128.6473423,128.6473464
257,0.070371945,13,129.5183628,129.518367
258,0.070623056,13,131.6217765,131.6217808
259,0.070953612,13,134.4354485,134.4354529
260,0.071278889,13,126.5603287,126.5603328
261,0.071527778,13,127.3194651,127.3194693
262,0.071778056,13,133.5852862,133.5852906
263,0.072031389,13,138.3429659,138.3429705
264,0.072280834,13,127.6689344,127.6689387
265,0.072608056,13,119.306781,119.306785
266,0.072934167,13,131.886118,131.8861224
267,0.073183334,13,130.6880493,130.6880537
268,0.073432223,13,139.0852165,139.0852212
269,0.073681389,13,144.0059038,144.0059087
270,0.073930834,13,139.9796854,139.9796902
271,0.074258056,13,133.9975861,133.9975907
272,0.074578056,13,136.342807,136.3428117
273,0.0748275,13,129.9466281,129.9466326
274,0.109932223,13.5,123.3237525,123.3237568
275,0.111587223,13.5,122.9079136,122.9079179
276,0.111835556,13.5,138.3504205,138.3504254
277,0.112164723,13.5,156.5604341,156.5604397
278,0.112487223,13.5,166.7771476,166.7771536
279,0.112734167,13.5,168.9961873,168.9961934
280,0.112988889,13.5,168.6378493,168.6378554
281,0.113240278,13.50631667,173.1756291,173.1756354
282,0.113488889,13.513775,176.3425439,176.3425504
283,0.113813056,13.5235,179.120145,179.1201516
284,0.114131945,13.53306667,176.8309948,176.8310013
285,0.114376112,13.54039167,171.1666654,171.1666718
286,0.114623612,13.54781667,166.1505416,166.1505478
287,0.114871945,13.55526667,157.1351533,157.1351592
288,0.1151225,13.56278333,150.2187338,150.2187395
289,0.115455278,13.57276667,145.6116439,145.6116494
290,0.115779445,13.58249167,145.7553037,145.7553093
291,0.116026945,13.58991667,153.002446,153.0024519
292,0.116275556,13.597375,149.5822316,149.5822374
293,0.116523889,13.604825,158.4033874,158.4033935
294,0.116774445,13.61234167,160.0108509,160.0108571
295,0.117105278,13.62226667,162.4190278,162.4190342
296,0.117431389,13.63205,173.8899702,173.8899771
297,0.1176825,13.63958333,184.4623039,184.4623112
298,0.117927778,13.64694167,197.1372448,197.1372527
299,0.118175278,13.65436667,210.7169054,210.7169138
300,0.118424445,13.66184167,213.7295782,213.7295868
301,0.118749723,13.6716,213.825141,213.8251497
302,0.119067778,13.68114167,208.6998818,208.6998903
303,0.119313889,13.688525,203.9000594,203.9000677
304,0.119563334,13.69600833,207.2427872,207.2427957
305,0.119814445,13.70354167,214.8038994,214.8039083
306,0.120064723,13.71105,216.9160796,216.9160886
307,0.120394445,13.72094167,220.4283271,220.4283364
308,0.1207175,13.73063333,239.6093962,239.6094063
309,0.120966667,13.73810833,244.1135695,244.1135799
310,0.121214167,13.74553333,247.1630652,247.1630758
311,0.12146,13.75290833,247.6872893,247.6873
312,0.121708612,13.76036667,238.0482419,238.0482522
313,0.122039445,13.77029167,232.9230188,232.9230289
314,0.122359167,13.77988333,250.3126133,250.3126243
315,0.122605834,13.78728333,258.0305217,258.030533
316,0.122853612,13.79471667,266.2662475,266.2662593
317,0.123103889,13.802225,278.042541,278.0425534
318,0.123354167,13.80973333,289.3524859,289.3524988
319,0.123685278,13.81966667,294.9257683,294.9257815
320,0.124012223,13.829475,298.0924003,298.0924137
321,0.124261667,13.83695833,305.244217,305.2442308
322,0.124508334,13.84435833,310.1755778,310.1755919
323,0.124756667,13.85180833,302.7588214,302.7588353
324,0.125006389,13.8593,293.753378,293.7533915
325,0.125338334,13.86925833,285.2951408,285.295154
326,0.125663056,13.879,284.0678363,284.0678495
327,0.125912778,13.88649167,287.4661253,287.4661387
328,0.126164723,13.89405,283.0406977,283.040711
329,0.126420834,13.90173333,278.0081947,278.0082078
330,0.126672223,13.909275,271.3782246,271.3782375
331,0.126997223,13.919025,266.1938798,266.1938925
332,0.127321945,13.92876667,276.0504885,276.0505017
333,0.127571112,13.93624167,293.4399489,293.439963
334,0.1278225,13.94378333,307.6636519,307.6636668
335,0.128071945,13.95126667,312.6260354,312.6260506
336,0.128317778,13.95864167,320.1059976,320.1060133
337,0.128642778,13.96839167,326.6561784,326.6561945
338,0.128964723,13.97805,338.5818162,338.5818329
339,0.129215,13.98555833,337.1965935,337.1966102
340,0.129466112,13.99309167,340.0528441,340.0528611
341,0.129715,14,338.0187818,338.0187988
342,0.129963334,14,323.8618789,323.8618953
343,0.130295,14,309.2679993,309.268015
344,0.130619445,14,303.06021,303.0602255
345,0.130864445,14,307.8500032,307.850019
346,0.131111945,14,300.3794086,300.3794241
347,0.131359723,14,292.9850095,292.9850247
348,0.131609167,14,278.7507625,278.750777
349,0.131944445,14,262.3400589,262.3400727
350,0.132270278,14,272.9383083,272.9383227
351,0.132519167,14,271.3407029,271.3407173
352,0.132765,14,260.6807991,260.680813
353,0.133015278,14,258.3439434,258.3439572
354,0.1332675,14,256.0442437,256.0442575
355,0.133592778,14,256.8255265,256.8255404
356,0.133911389,14,249.0783984,249.078412
357,0.134159167,14,254.4467717,254.4467856
358,0.134407223,14,262.8833554,262.8833698
359,0.134658334,14,280.8488772,280.8488927
360,0.1349075,14,275.8139928,275.8140081
361,0.135240556,14,270.3175327,270.3175478
362,0.135570278,14,285.2040171,285.2040331
363,0.135823889,14,286.9842981,286.9843143
364,0.136074723,14,275.0296288,275.0296444
365,0.136323056,14,278.5716887,278.5717045
366,0.13657,14,267.9772114,267.9772267
367,0.136904167,14,256.6667272,256.666742
368,0.137229167,14,260.625241,260.6252561
369,0.137474445,14,253.7454383,253.745453
370,0.137721667,14,244.7381461,244.7381604
371,0.137969723,14,246.2348672,246.2348816
372,0.138218056,14,238.472336,238.47235
373,0.138550556,14,232.495385,232.4953988
374,0.138876112,14,238.080075,238.0800892
375,0.139124445,14,236.8762714,236.8762855
376,0.139373056,14,246.6863521,246.6863669
377,0.139618889,14,244.8026636,244.8026783
378,0.139866667,14,248.0484605,248.0484755
379,0.140191945,14,248.8040945,248.8041096
380,0.140516945,14,240.3036981,240.3037128
381,0.140763056,14,236.9539226,236.9539371
382,0.141010278,14,228.8257628,228.8257769
383,0.1412575,14,214.2465413,214.2465546
384,0.141506667,14,226.8972706,226.8972847
385,0.141831389,14,238.0082199,238.0082348
386,0.142154445,14,245.0445837,245.0445991
387,0.142400278,14,250.2809206,250.2809364
388,0.142646945,14,245.2262913,245.2263068
389,0.142900278,14,236.821201,236.8212161
390,0.143151389,14,214.4398426,214.4398563
391,0.143474167,14,195.8728452,195.8728578
392,0.143792778,14,198.7834295,198.7834423
393,0.144041667,14,192.9746794,192.9746919
394,0.144288056,14,203.6853907,203.6854039
395,0.144535,14,198.824813,198.824826
396,0.144786112,14,198.5241152,198.5241282
397,0.145119723,14,199.7899254,199.7899386
398,0.145445834,14,209.0477204,209.0477342
399,0.145694445,14,213.5629962,213.5630104
400,0.145947223,14,216.7807635,216.780778
401,0.146196945,14,226.4890537,226.4890689
402,0.146446112,14.00249167,223.23625,223.236265
403,0.146775278,14.01236667,218.9867777,218.9867925
404,0.147101389,14.02215,226.4402167,226.4402321
405,0.147350834,14.02963333,227.3124534,227.3124689
406,0.147602223,14.037175,226.6923534,226.6923689
407,0.147854445,14.04474167,199.8912818,199.8912956
408,0.148107778,14.05234167,191.52544,191.5254532
409,0.14844,14.06230833,181.2606039,181.2606165
410,0.148763612,14.07201667,174.3926407,174.3926529
411,0.149011945,14.07946667,190.8282469,190.8282603
412,0.149259723,14.0869,183.4544052,183.4544181
413,0.149505556,14.094275,182.6493949,182.6494078
414,0.149753889,14.101725,174.779802,174.7798144
415,0.150081112,14.11154167,170.464706,170.4647182
416,0.150402223,14.121175,187.7380086,187.7380221
417,0.150650834,14.12863333,196.8406567,196.8406709
418,0.150901945,14.13616667,194.6373013,194.6373154
419,0.151148612,14.14356667,204.2023172,204.2023321
420,0.151398612,14.15106667,202.1653232,202.165338
421,0.151729723,14.161,199.3263767,199.3263914
422,0.152056667,14.17080833,181.9351559,181.9351694
423,0.152306389,14.1783,179.3837515,179.3837648
424,0.152553612,14.18571667,181.0156625,181.015676
425,0.152803334,14.19320833,196.8032561,196.8032709
426,0.153053889,14.200725,214.2927398,214.2927559
427,0.153386389,14.2107,231.9069272,231.9069448
428,0.153710556,14.220425,238.9283799,238.9283981
429,0.153958334,14.22785833,243.3977309,243.3977495
430,0.154207778,14.23534167,248.0484403,248.0484593
431,0.154455278,14.24276667,242.2443371,242.2443558
432,0.154705556,14.250275,232.842588,232.842606
433,0.155031945,14.26006667,224.8294455,224.829463
434,0.155351112,14.26964167,228.0614439,228.0614617
435,0.155600278,14.27711667,236.8154212,236.8154398
436,0.155849723,14.2846,239.8298241,239.829843
437,0.156098056,14.29205,247.0642932,247.0643128
438,0.156350278,14.29961667,253.8685416,253.8685618
439,0.156686945,14.30971667,257.564704,257.5647246
440,0.157015556,14.319575,252.5481842,252.5482045
441,0.157263334,14.32700833,254.6493667,254.6493872
442,0.157514445,14.33454167,259.832747,259.832768
443,0.157768334,14.34215833,266.1125052,266.1125269
444,0.158021945,14.34976667,269.2099822,269.2100042
445,0.158353334,14.35970833,274.6656735,274.665696
446,0.158678056,14.36945,269.4171004,269.4171226
447,0.158923612,14.37681667,272.9933557,272.9933783
448,0.159169445,14.38419167,266.3394983,266.3395205
449,0.159413612,14.39151667,269.4198536,269.4198761
450,0.159663056,14.399,265.0717662,265.0717884
451,0.159998056,14.40905,262.2496623,262.2496844
452,0.160326112,14.41889167,263.8447144,263.8447367
453,0.160576667,14.42640833,269.4713399,269.4713628
454,0.160825834,14.43388333,284.4240731,284.4240974
455,0.16108,14.44150833,296.8663492,296.8663747
456,0.161329167,14.44898333,301.3417483,301.3417743
457,0.161661945,14.45896667,304.6548208,304.6548472
458,0.161986389,14.4687,302.0936788,302.0937051
459,0.162233056,14.4761,298.212833,298.2128591
460,0.162482778,14.48359167,303.4245775,303.4246042
461,0.162730278,14.49101667,305.8787619,305.8787889
462,0.162980556,14.498525,303.5393559,303.5393828
463,0.163302223,14.5,299.7964825,299.7965092
464,0.163623612,14.5,309.2804391,309.2804667
465,0.163873056,14.5,306.1122243,306.1122517
466,0.1641225,14.5,298.1630097,298.1630365
467,0.164371389,14.5,297.0592461,297.0592729
468,0.164620834,14.5,288.9798181,288.9798443
469,0.164951667,14.5,279.8071069,279.8071324
470,0.165275278,14.5,284.0190072,284.0190332
471,0.165526389,14.5,290.494122,290.4941487
472,0.165774723,14.5,291.2580152,291.258042
473,0.166024167,14.5,303.3986793,303.3987074
474,0.166275834,14.5,308.3129851,308.3130138
475,0.166604445,14.5,312.5681792,312.5682084
476,0.166924167,14.5,310.3304888,310.3305179
477,0.167171945,14.5,317.2534976,317.2535274
478,0.167421112,14.5,315.2192223,315.2192521
479,0.167669167,14.5,323.3613717,323.3614023
480,0.16792,14.5,311.767136,311.7671657
481,0.168251945,14.5,299.0597661,299.0597947
482,0.168575556,14.5,303.007038,303.0070671
483,0.168823889,14.5,305.8702718,305.8703013
484,0.169076112,14.5,298.1488671,298.1488959
485,0.169326667,14.5,303.224836,303.2248654
486,0.169578889,14.5,297.1130126,297.1130415
487,0.169911389,14.5,291.3142512,291.3142797
488,0.1702375,14.5,295.7493633,295.7493923
489,0.170487223,14.5,297.1148761,297.1149197
490,0.170734723,14.5,303.8138733,303.8139186
491,0.1709825,14.5,304.3081689,304.3082143
492,0.171235278,14.5,305.686903,305.6869488
493,0.171566945,14.5,310.1839004,310.183947
494,0.171893056,14.5,316.3346002,316.3346478
495,0.172143889,14.5,330.1095917,330.1096415
496,0.172395556,14.5,350.5455713,350.5456243
497,0.172646945,14.5,353.3387335,353.3387871
498,0.172895278,14.5,364.5985281,364.5985836
499,0.173229723,14.5,373.3926067,373.3926637
500,0.173553334,14.5,380.1551961,380.1552542
501,0.1738,14.5,387.8312408,387.8313002
502,0.174046112,14.5,388.7371348,388.7371945
503,0.174295278,14.5,367.4501168,367.4501734
504,0.174544167,14.5,368.2192328,368.2192897
505,0.174869167,14.5,367.4054134,367.4054703
506,0.175191112,14.5,374.3607656,374.3608237
507,0.175439167,14.5,378.7021914,378.7022503
508,0.175689723,14.5,376.2948859,376.2949446
509,0.175941112,14.5,377.841831,377.8418901
510,0.176193334,14.5,374.1711454,374.1712041
511,0.176521112,14.5,373.1480167,373.1480754
512,0.176845556,14.5,372.0335743,372.0336329
513,0.1770925,14.5,364.7892682,364.7893258
514,0.17734,14.5,379.8969981,379.8970582
515,0.177587778,14.5,372.7611981,372.7612572
516,0.177833334,14.5,370.8534521,370.8535111
517,0.178160834,14.5,369.1439019,369.1439608
518,0.178487778,14.5,374.1390918,374.1391516
519,0.178733612,14.5,378.4426328,378.4426934
520,0.178982778,14.5,380.6972646,380.6973257
521,0.179233056,14.5,385.3933938,385.3934558
522,0.179487223,14.5,376.5024452,376.502506
523,0.179811667,14.50345833,367.9315953,367.9316549
524,0.180133612,14.51311667,372.7119045,372.711965
525,0.1803825,14.52058333,384.3100579,384.3101204
526,0.180628612,14.52796667,397.3031112,397.303176
527,0.180876389,14.5354,382.2378191,382.2378816
528,0.181123889,14.542825,376.5303935,376.5304552
529,0.181453612,14.55271667,366.8187742,366.8188345
530,0.181779167,14.56248333,360.7149803,360.7150397
531,0.1820275,14.56993333,371.1254109,371.1254722
532,0.182276112,14.57739167,369.6869245,369.6869857
533,0.182526667,14.58490833,366.4949526,366.4950134
534,0.182774167,14.59233333,372.1769344,372.1769963
535,0.183100278,14.60211667,381.8843257,381.8843894
536,0.18342,14.61170833,393.6398911,393.6399569
537,0.183669445,14.61919167,394.1476038,394.1476699
538,0.183918889,14.626675,390.8539612,390.8540269
539,0.184169445,14.63419167,403.1635224,403.1635903
540,0.184420556,14.641725,405.5865593,405.5866278
541,0.184748612,14.65156667,406.4361387,406.4362076
542,0.185071945,14.66126667,417.0059553,417.0060261
543,0.185317223,14.668625,416.4275638,416.4276347
544,0.185563056,14.676,407.937844,407.9379136
545,0.185811389,14.68345,417.2509064,417.2509778
546,0.18606,14.69090833,430.7852482,430.7853221
547,0.186389723,14.7008,446.2047591,446.2048358
548,0.186714167,14.71053333,450.5395515,450.5396292
549,0.186962778,14.71799167,453.982957,453.9830355
550,0.187210278,14.72541667,463.5700857,463.570166
551,0.187462778,14.73299167,452.4095138,452.4095924
552,0.187714723,14.74055,457.3433607,457.3434403
553,0.188044445,14.75044167,459.5729992,459.5730794
554,0.188369167,14.76018333,462.880532,462.880613
555,0.188621389,14.76775,462.6361055,462.6361867
556,0.188868612,14.77516667,453.812268,453.8123478
557,0.189116389,14.7826,450.4731549,450.4732344
558,0.189370278,14.79021667,444.4026305,444.4027091
559,0.189695556,14.799975,439.7360877,439.7361656
560,0.190017223,14.809625,436.1583707,436.1584482
561,0.190266667,14.81710833,435.0248348,435.0249123
562,0.190518056,14.82465,429.2703649,429.2704416
563,0.190765,14.83205833,433.8172711,433.8173488
564,0.1910125,14.83948333,427.2676693,427.2677461
565,0.191341389,14.84935,421.6033408,421.6034168
566,0.191666667,14.85910833,416.1691884,416.1692636
567,0.191915278,14.86656667,425.7027047,425.7027818
568,0.192165278,14.87406667,420.6615278,420.6616042
569,0.192411945,14.88146667,415.3357018,415.3357779
570,0.192659723,14.8889,411.539407,411.5394826
571,0.192994167,14.89893333,408.4670024,408.4670776
572,0.193317778,14.90864167,404.5148007,404.5148758
573,0.193564167,14.91603333,396.5242654,396.5243392
574,0.193810556,14.923425,397.1535665,397.1536406
575,0.194058889,14.930875,402.0737903,402.0738655
576,0.194308889,14.938375,398.9945373,398.9946126
577,0.194634445,14.94814167,393.1764093,393.1764837
